transaction_id,contract_id,client_id,transaction_date,payment_amt,payment_code
1,585,255,1499018882,2504996,PAYMENT
2,585,255,1499018882,5000,PAYMENT
3,586,167,1499018882,505004,PAYMENT
4,586,167,1499018882,5000,PAYMENT
5,587,884,1499018882,2405000,PAYMENT
6,587,884,1499018882,5000,PAYMENT
7,588,623,1499018882,6005000,PAYMENT
8,588,623,1499018882,5000,PAYMENT
9,589,365,1499018882,2005004,PAYMENT
10,589,365,1499018882,5000,PAYMENT
11,406,742,1499018882,8333,PAYMENT
12,406,742,1499018882,1250,PAYMENT
13,14,215,1499018882,16667,PAYMENT
14,14,215,1499018882,1999,PAYMENT
15,15,511,1499018882,16667,PAYMENT
16,15,511,1499018882,1999,PAYMENT
17,18,780,1499018882,16667,PAYMENT
18,18,780,1499018882,2166,PAYMENT
19,139,602,1499018882,16667,PAYMENT
20,139,602,1499018882,2166,PAYMENT
21,351,24,1499018882,16667,PAYMENT
22,351,24,1499018882,2500,PAYMENT
23,108,926,1499018882,16667,PAYMENT
24,108,926,1499018882,2666,PAYMENT
25,540,260,1499018882,16667,PAYMENT
26,540,260,1499018882,2666,PAYMENT
27,542,279,1499018882,16667,PAYMENT
28,542,279,1499018882,2666,PAYMENT
29,466,170,1499018882,20833,PAYMENT
30,466,170,1499018882,3124,PAYMENT
31,20,206,1499018882,25000,PAYMENT
32,20,206,1499018882,3250,PAYMENT
33,106,679,1499018882,25000,PAYMENT
34,106,679,1499018882,3500,PAYMENT
35,352,1071,1499018882,25000,PAYMENT
36,352,1071,1499018882,3750,PAYMENT
37,358,1009,1499018882,25000,PAYMENT
38,358,1009,1499018882,3750,PAYMENT
39,579,1103,1499018882,25833,PAYMENT
40,579,1103,1499018883,3333,PAYMENT
41,577,853,1499018883,30000,PAYMENT
42,577,853,1499018883,3750,PAYMENT
43,13,553,1499018883,33333,PAYMENT
44,13,553,1499018883,4000,PAYMENT
45,114,784,1499018883,33333,PAYMENT
46,114,784,1499018883,4000,PAYMENT
47,112,835,1499018883,33333,PAYMENT
48,112,835,1499018883,4667,PAYMENT
49,113,1024,1499018883,33333,PAYMENT
50,113,1024,1499018883,4667,PAYMENT
51,306,415,1499018883,41667,PAYMENT
52,306,415,1499018883,5833,PAYMENT
53,228,864,1499018883,41667,PAYMENT
54,228,864,1499018883,6249,PAYMENT
55,229,196,1499018883,41667,PAYMENT
56,229,196,1499018883,6249,PAYMENT
57,254,687,1499018883,41667,PAYMENT
58,254,687,1499018883,6249,PAYMENT
59,277,902,1499018883,41667,PAYMENT
60,277,902,1499018883,6249,PAYMENT
61,281,332,1499018883,41667,PAYMENT
62,281,332,1499018883,6249,PAYMENT
63,313,601,1499018883,41667,PAYMENT
64,313,601,1499018883,6249,PAYMENT
65,357,147,1499018883,41667,PAYMENT
66,357,147,1499018883,6250,PAYMENT
67,543,5,1499018883,41667,PAYMENT
68,543,5,1499018883,6666,PAYMENT
69,583,156,1499018883,46667,PAYMENT
70,583,156,1499018883,6250,PAYMENT
71,582,472,1499018883,46667,PAYMENT
72,582,472,1499018883,6666,PAYMENT
73,21,79,1499018883,50000,PAYMENT
74,21,79,1499018883,6500,PAYMENT
75,539,45,1499018883,50000,PAYMENT
76,539,45,1499018883,7500,PAYMENT
77,469,1122,1499018883,50000,PAYMENT
78,469,1122,1499018883,8000,PAYMENT
79,110,406,1499018883,58621,PAYMENT
80,110,406,1499018883,7620,PAYMENT
81,541,731,1499018883,58333,PAYMENT
82,541,731,1499018883,9333,PAYMENT
83,356,229,1499018883,66667,PAYMENT
84,356,229,1499018883,5333,PAYMENT
85,279,1132,1499018884,66667,PAYMENT
86,279,1132,1499018884,9999,PAYMENT
87,355,408,1499018884,66667,PAYMENT
88,355,408,1499018884,9999,PAYMENT
89,468,301,1499018884,66667,PAYMENT
90,468,301,1499018884,10666,PAYMENT
91,16,106,1499018884,75000,PAYMENT
92,16,106,1499018884,9000,PAYMENT
93,115,939,1499018884,75000,PAYMENT
94,115,939,1499018884,9000,PAYMENT
95,353,1032,1499018884,75000,PAYMENT
96,353,1032,1499018884,10500,PAYMENT
97,407,546,1499018884,75000,PAYMENT
98,407,546,1499018884,11250,PAYMENT
99,350,46,1499018884,83333,PAYMENT
100,350,46,1499018884,10000,PAYMENT
101,105,723,1499018884,91667,PAYMENT
102,105,723,1499018884,16499,PAYMENT
103,584,205,1499018884,96667,PAYMENT
104,584,205,1499018884,14666,PAYMENT
105,405,889,1499018884,116667,PAYMENT
106,405,889,1499018884,17499,PAYMENT
107,467,190,1499018884,116667,PAYMENT
108,467,190,1499018884,18666,PAYMENT
109,276,480,1499018884,125000,PAYMENT
110,276,480,1499018884,12500,PAYMENT
111,359,56,1499018884,125000,PAYMENT
112,359,56,1499018884,16250,PAYMENT
113,400,411,1499018884,133333,PAYMENT
114,400,411,1499018884,20000,PAYMENT
115,581,556,1499018884,138333,PAYMENT
116,581,556,1499018884,20000,PAYMENT
117,465,383,1499018884,141667,PAYMENT
118,465,383,1499018884,22666,PAYMENT
119,107,930,1499018884,150000,PAYMENT
120,107,930,1499018884,25500,PAYMENT
121,404,391,1499018884,166667,PAYMENT
122,404,391,1499018884,13333,PAYMENT
123,401,216,1499018884,158333,PAYMENT
124,401,216,1499018884,23750,PAYMENT
125,17,641,1499018884,166667,PAYMENT
126,17,641,1499018884,20000,PAYMENT
127,22,389,1499018884,166667,PAYMENT
128,22,389,1499018885,21666,PAYMENT
129,227,1008,1499018885,166667,PAYMENT
130,227,1008,1499018885,23333,PAYMENT
131,280,278,1499018885,166667,PAYMENT
132,280,278,1499018885,23333,PAYMENT
133,402,513,1499018885,166667,PAYMENT
134,402,513,1499018885,24999,PAYMENT
135,578,338,1499018885,171667,PAYMENT
136,578,338,1499018885,21666,PAYMENT
137,580,830,1499018885,171667,PAYMENT
138,580,830,1499018885,26666,PAYMENT
139,463,501,1499018885,200000,PAYMENT
140,463,501,1499018885,30000,PAYMENT
141,130,233,1499105285,2000,PAYMENT
142,5,545,1499105285,30000,PAYMENT
143,1,248,1499105285,6000,DEFAULT
144,91,364,1499105285,10000,DEFAULT
145,267,836,1499105285,34084,DEFAULT
146,102,343,1499105285,50000,DEFAULT
147,102,343,1499105285,6000,DEFAULT
148,438,634,1499105285,41667,DEFAULT
149,438,634,1499105285,6250,DEFAULT
150,95,785,1499105285,166667,DEFAULT
151,95,785,1499105285,16666,DEFAULT
152,392,52,1499105285,6589,DEFAULT
153,72,1026,1499105285,50000,DEFAULT
154,590,277,1499105285,2305004,PAYMENT
155,590,277,1499105285,5000,PAYMENT
156,591,1116,1499105285,2405000,PAYMENT
157,591,1116,1499105285,5000,PAYMENT
158,592,997,1499105285,1604996,PAYMENT
159,592,997,1499105285,5000,PAYMENT
160,593,767,1499105285,505004,PAYMENT
161,593,767,1499105285,5000,PAYMENT
162,594,979,1499105285,1304996,PAYMENT
163,594,979,1499105285,5000,PAYMENT
164,231,770,1499105285,16667,PAYMENT
165,231,770,1499105285,2499,PAYMENT
166,442,508,1499105285,16667,PAYMENT
167,442,508,1499105285,2666,PAYMENT
168,25,654,1499105285,25000,PAYMENT
169,25,654,1499105286,3250,PAYMENT
170,179,384,1499105286,33333,PAYMENT
171,179,384,1499105286,5666,PAYMENT
172,83,681,1499105286,41667,PAYMENT
173,83,681,1499105286,5416,PAYMENT
